Date,Open,High,Low,Close
2009-02-24,3850.73,3852.25,3772.45,3816.44
2009-02-25,3816.44,3884.06,3803.92,3848.98
2009-02-26,3848.98,3948.22,3848.98,3915.64
2009-02-27,3915.64,3915.64,3760.7,3830.09
2009-03-02,3830.09,3830.09,3625.83,3625.83
2009-03-03,3625.83,3676.86,3497.27,3512.09
2009-03-04,3512.09,3649.5,3512.09,3645.87
2009-03-05,3645.87,3645.87,3526.41,3529.86
2009-03-06,3529.86,3590.22,3492.1,3530.73
2009-03-09,3530.73,3564.75,3460.71,3542.4
2009-03-10,3542.4,3726.31,3516.3,3715.23
2009-03-11,3715.23,3763.24,3652.01,3693.81
2009-03-12,3693.81,3725.6,3616.5,3712.06
2009-03-13,3712.06,3816.02,3712.06,3753.68
2009-03-16,3753.68,3863.99,3753.68,3863.99
2009-03-17,3863.99,3863.99,3793.13,3857.1
2009-03-18,3857.1,3901.65,3768.5,3804.99
2009-03-19,3804.99,3912.64,3793.7,3816.93
2009-03-20,3816.93,3854.87,3777.73,3842.85
2009-03-23,3952.81,3952.81,3952.81,3952.81
2009-03-24,3911.46,3911.46,3911.46,3911.46
2009-03-25,3900.25,3900.25,3900.25,3900.25
2009-03-26,3925.2,3925.2,3925.2,3925.2
2009-03-27,3925.2,3950.32,3877.55,3898.85
2009-03-30,3762.91,3762.91,3762.91,3762.91
2009-03-31,3926.14,3926.14,3926.14,3926.14
2009-04-01,3955.61,3955.61,3955.61,3955.61
2009-04-02,4124.97,4124.97,4124.97,4124.97
2009-04-03,4124.97,4132.93,4015.59,4029.67
2009-04-06,3993.54,3993.54,3993.54,3993.54
2009-04-07,3930.52,3930.52,3930.52,3930.52
2009-04-08,3925.52,3925.52,3925.52,3925.52
2009-04-09,3983.71,3983.71,3983.71,3983.71
2009-04-13,3983.71,3983.71,3983.71,3983.71
2009-04-14,3988.99,3988.99,3988.99,3988.99
2009-04-15,3988.99,4023.35,3941.61,3968.4
2009-04-16,3968.4,4052.98,3963.57,4052.98
2009-04-17,4052.98,4114.32,4043.21,4092.8
2009-04-20,4072.96,4112.75,3962.87,3990.86
2009-04-21,3990.86,4019.16,3897.25,3987.46
2009-04-22,3987.46,4036.03,3948.22,4030.66
2009-04-23,4030.66,4082.31,3999.06,4018.23
2009-04-24,4018.23,4155.99,4018.23,4155.99
2009-04-27,4155.99,4179.17,4088.67,4167.01
2009-04-28,4167.01,4167.01,4058.73,4096.4
2009-04-29,4096.4,4193.32,4089.46,4189.59
2009-04-30,4189.59,4293.63,4189.59,4243.71
2009-05-01,4243.71,4251.57,4210.75,4243.22
2009-05-05,4243.22,4375.35,4243.22,4336.94
2009-05-06,4336.94,4437.61,4317.05,4396.49
2009-05-07,4396.49,4520.82,4380.27,4398.68
2009-05-08,4398.68,4487.5,4398.68,4462.09
2009-05-11,4462.09,4470.05,4401.52,4435.5
2009-05-12,4435.5,4457.46,4397.41,4425.54
2009-05-13,4425.54,4447.96,4328.17,4331.37
2009-05-14,4331.37,4371.28,4295.19,4362.58
2009-05-15,4362.58,4400.72,4317.23,4348.11
2009-05-18,4348.11,4446.45,4307.72,4446.45
2009-05-19,4446.45,4512.7,4445.48,4482.25
2009-05-20,4482.25,4504.2,4445.09,4468.41
2009-05-21,4468.41,4468.41,4325.77,4345.47
2009-05-22,4365.29,4365.29,4365.29,4365.29
2009-05-26,4411.72,4411.72,4411.72,4411.72
2009-05-27,4416.23,4416.23,4416.23,4416.23
2009-05-28,4416.23,4416.23,4341.08,4387.54
2009-05-29,4387.54,4469.43,4387.54,4417.94
2009-06-01,4417.94,4517.6,4417.94,4506.19
2009-06-02,4506.19,4506.19,4435.92,4477.02
2009-06-03,4477.02,4477.18,4359.33,4383.42
2009-06-04,4383.42,4436.25,4359.66,4386.94
2009-06-05,4386.94,4495.94,4386.94,4438.56
2009-06-08,4438.56,4438.56,4370.55,4405.22
2009-06-09,4405.22,4445.54,4387.34,4404.79
2009-06-10,4404.79,4505.89,4404.79,4436.75
2009-06-11,4436.75,4478.42,4409.15,4461.87
2009-06-12,4441.95,4441.95,4441.95,4441.95
2009-06-15,4441.95,4441.95,4319.79,4326.01
2009-06-16,4326.01,4372.85,4321.56,4328.57
2009-06-17,4328.57,4328.69,4254.62,4278.46
2009-06-18,4278.46,4305.43,4239.74,4280.86
2009-06-19,4280.86,4370.26,4279.85,4345.93
2009-06-22,4345.93,4345.93,4234.05,4234.05
2009-06-23,4234.05,4264.0,4214.88,4230.02
2009-06-24,4230.02,4293.0,4218.39,4279.98
2009-06-25,4279.98,4290.36,4213.4,4252.57
2009-06-26,4252.57,4307.16,4216.46,4241.01
2009-06-29,4241.01,4303.55,4235.19,4294.03
2009-06-30,4294.03,4311.23,4230.63,4249.21
2009-07-01,4249.21,4353.03,4249.21,4340.71
2009-07-02,4340.71,4340.71,4230.76,4234.27
2009-07-03,4234.27,4264.81,4221.19,4236.28
2009-07-06,4236.28,4236.28,4172.33,4194.91
2009-07-07,4194.91,4242.07,4184.36,4187.0
2009-07-08,4187.0,4197.55,4130.56,4140.23
2009-07-09,4140.23,4186.41,4140.23,4158.66
2009-07-10,4158.66,4160.48,4123.49,4127.17
2009-07-13,4127.17,4209.25,4096.08,4202.13
2009-07-14,4202.13,4256.37,4198.74,4237.68
2009-07-15,4237.68,4346.46,4237.68,4346.46
2009-07-16,4346.46,4385.15,4329.43,4361.84
2009-07-17,4361.84,4411.91,4361.84,4388.75
2009-07-20,4388.75,4464.81,4388.75,4443.62
2009-07-21,4443.62,4502.12,4437.81,4481.17
2009-07-22,4481.17,4497.98,4449.19,4493.73
2009-07-23,4493.73,4566.77,4472.07,4559.8
2009-07-24,4559.8,4603.21,4536.45,4576.61
2009-07-27,4576.61,4615.12,4553.09,4586.13
2009-07-28,4586.13,4616.44,4520.26,4528.84
2009-07-29,4528.84,4581.78,4512.1,4547.53
2009-07-30,4547.53,4646.86,4547.53,4631.61
2009-07-31,4631.61,4645.5,4599.72,4608.36
2009-08-03,4608.36,4710.23,4595.58,4682.46
2009-08-04,4682.46,4682.46,4627.71,4665.39
2009-08-05,4671.37,4696.64,4630.63,4647.13
2009-08-06,4647.13,4729.58,4647.13,4690.53
2009-08-07,4690.53,4743.62,4632.16,4731.56
2009-08-10,4731.56,4731.56,4688.77,4722.2
2009-08-11,4722.2,4744.11,4657.78,4671.34
2009-08-12,4671.34,4722.55,4631.7,4716.76
2009-08-13,4716.76,4789.98,4716.76,4755.46
2009-08-14,4755.46,4790.18,4699.5,4713.97
2009-08-17,4713.97,4713.97,4610.34,4645.01
2009-08-18,4645.01,4688.22,4645.01,4685.78
2009-08-19,4685.78,4698.5,4625.44,4689.67
2009-08-20,4689.67,4766.85,4689.67,4756.58
2009-08-21,4756.58,4858.53,4735.78,4850.89
2009-08-24,4850.89,4911.41,4850.89,4896.23
2009-08-25,4896.23,4923.28,4858.94,4916.8
2009-08-26,4916.8,4927.05,4872.35,4890.58
2009-08-27,4890.58,4906.2,4855.32,4869.35
2009-08-28,4869.35,4944.16,4869.35,4908.9
2009-09-01,4819.7,4819.7,4819.7,4819.7
2009-09-02,4817.55,4821.91,4776.5,4817.55
2009-09-03,4817.55,4841.51,4788.89,4796.75
2009-09-04,4796.75,4873.78,4796.75,4851.7
2009-09-07,4851.7,4941.7,4851.7,4933.18
2009-09-08,4933.18,4971.99,4926.05,4947.34
2009-09-09,4947.34,5004.3,4928.39,5004.3
2009-09-10,5004.3,5035.34,4956.56,4987.68
2009-09-11,4987.68,5038.76,4987.68,5011.47
2009-09-14,5011.47,5020.86,4953.71,5018.85
2009-09-15,5018.85,5062.69,4996.52,5042.13
2009-09-16,5042.13,5131.26,5042.13,5124.13
2009-09-17,5124.13,5173.13,5124.13,5163.95
2009-09-18,5163.95,5183.88,5147.13,5172.89
2009-09-21,5172.89,5182.23,5107.71,5134.36
2009-09-22,5134.36,5189.88,5134.36,5142.6
2009-09-23,5142.6,5175.1,5126.6,5139.37
2009-09-24,5139.37,5165.41,5073.35,5079.27
2009-09-25,5082.2,5082.2,5082.2,5082.2
2009-09-28,5082.2,5170.81,5050.78,5165.7
2009-09-29,5165.7,5184.05,5136.49,5159.72
2009-09-30,5159.72,5190.0,5092.75,5133.9
2009-10-01,5133.9,5164.37,5043.98,5047.81
2009-10-02,5047.81,5047.81,4954.98,4988.7
2009-10-05,4988.7,5024.33,4976.88,5024.33
2009-10-06,5024.33,5149.9,5024.33,5137.98
2009-10-07,5137.98,5156.21,5104.49,5108.9
2009-10-08,5108.9,5172.82,5108.9,5154.64
2009-10-09,5154.64,5171.53,5130.37,5161.87
2009-10-12,5161.87,5231.19,5161.87,5210.17
2009-10-13,5210.17,5221.65,5154.15,5154.15
2009-10-14,5154.15,5261.26,5154.15,5256.1
2009-10-15,5256.1,5267.9,5218.92,5222.95
2009-10-16,5222.95,5272.92,5176.38,5190.24
2009-10-19,5190.24,5281.54,5190.24,5281.54
2009-10-20,5281.54,5298.54,5243.4,5243.4
2009-10-21,5243.4,5267.98,5174.48,5257.85
2009-10-22,5257.85,5257.85,5166.46,5207.36
2009-10-23,5207.36,5299.57,5207.36,5242.57
2009-10-26,5242.57,5281.12,5166.44,5191.74
2009-10-27,5191.74,5230.57,5181.91,5200.97
